1.0	A plane is taking off.	一架飞机正在起飞。
0.76	A man is playing a large flute.	一个男人在吹笛子。
0.76	A man is spreading shreded cheese on a pizza.	一名男子正在未煮熟的比萨上撒奶酪丝。
0.52	Three men are playing chess.	两个男人在下棋。
0.85	A man is playing the cello.	一个坐着的男人正在拉大提琴。
0.85	Some men are fighting.	两个男人在战斗。
0.1	A man is smoking.	一个人在滑冰。
0.32	The man is playing the piano.	那人正在弹吉他。
0.44	A man is playing on a guitar and singing.	一个女人正在弹吉他，唱歌。
1.0	A person is throwing a cat on to the ceiling.	一个人把猫扔在天花板上。
0.84	The man hit the other man with a stick.	那人用棍子打了另一个人。
0.92	A woman picks up and holds a baby kangaroo.	一个女人抱起怀里抱着一只袋鼠。
0.7734	A man is playing a flute.	一个男人在吹竹笛。
0.9334	A person is folding a piece of paper.	有人在折叠一张纸。
0.3334	A man is running on the road.	熊猫狗在路上奔跑。
0.75	A dog is trying to get bacon off his back.	一条狗正试图吃它背面的培根。
1.0	The polar bear is sliding on the snow.	一只北极熊在雪地上滑行。
0.1	A woman is writing.	一个女人在游泳。
0.76	A cat is rubbing against baby's face.	猫在摩擦婴儿。
1.0	The man is riding a horse.	一个人骑着马。
0.64	A man pours oil into a pot.	一个人把酒倒在锅里。
0.56	A man is playing a guitar.	一个女孩在弹吉他。
0.92	A panda is sliding down a slide.	一只熊猫从幻灯片上滑下来。
0.6	A woman is eating something.	一个女人在吃肉。
1.0	A woman peels a potato.	一个女人在削土豆皮。
0.96	The boy fell off his bike.	一个男孩从自行车上摔下来。
1.0	The woman is playing the flute.	一个女人在吹笛子。
0.84	A rabbit is running from an eagle.	一只野兔从鹰上奔跑。
0.84	The woman is frying a breaded pork chop.	一个女人正在做面包的猪排。
0.8	A girl is flying a kite.	奔跑的女孩正在放风筝。
0.8	A man is riding a mechanical bull.	一个人骑着机械牛。
0.9818	The man is playing the guitar.	一个人在弹吉他。
0.6	A woman is dancing and singing with other women.	一个女人在雨中跳舞和唱歌。
0.48	A man is slicing a bun.	一个人正在切洋葱。
0.84	A man is pouring oil into a pan.	一个人正在把油倒入煎锅中。
0.68	A lion is playing with people.	一只狮子正在和两个男人一起玩。
1.0	A dog rides a skateboard.	狗正在骑滑板。
0.75	Someone is carving a statue.	一个人在雕刻雕像。
0.55	A woman is slicing an onion.	一个人在切洋葱。
1.0	A woman peels shrimp.	一个女人在剥虾。
0.8	A woman is frying fish.	一个女人在煮鱼。
0.72	A woman is playing an electric guitar.	一个女人在弹吉他。
0.32	A baby tiger is playing with a ball.	婴儿在玩洋娃娃。
0.35	A person is slicing a tomato.	一个人在切一些肉。
1.0	A person cuts an onion.	一个人在切洋葱。
0.2	A man is playing the piano.	一个女人正在拉小提琴。
0.2	A woman is playing the flute.	一个人在弹吉他。
0.475	A man is cutting up a potato.	一个人正在切胡萝卜。
0.76	A kid is playing guitar.	一个男孩在弹吉他。
0.64	A boy is playing guitar.	一个人在弹吉他。
0.64	A man is playing guitar.	一个男孩在弹吉他。
0.88	A little boy is playing a keyboard.	一个男孩在玩键盘。
0.75	A man is playing a guitar.	一个人在弹电吉他。
0.95	A dog licks a baby.	狗在舔婴儿。
0.64	A woman is slicing an onion.	一个男人在切洋葱。
0.3112	A man is playing the guitar.	一个男人在敲鼓。
0.7876	A woman is slicing a pepper.	一个女人正在切一个红辣椒。
1.0	A man is playing the drums.	一个男人在鼓。
1.0	A woman rides a horse.	一个女人骑着马。
0.8	A man is eating a banana by a tree.	一个人在吃一根香蕉。
0.32	A cat is playing a key board.	一个人正在弹两个键盘。
0.95	A man chops down a tree with an axe.	一个人用斧头砍了一棵树。
0.7	A kid plays with a toy phone.	一个小男孩玩玩具电话。
0.28	A man is riding a motorcycle.	一个人骑着马。
0.28	A man is riding a motorcycle.	一个人骑着马。
0.8	A squirrel is spinning around in circles.	一只松鼠盘旋。
1.0	A man and a woman are kissing.	一个男人和女人的吻。
0.7666	A man is getting into a car.	一个人正在车库里开车。
0.12	A man is dancing.	一个男人在说话。
0.5834	A man is playing the guitar and singing.	一个人在弹吉他。
0.84	A person is cutting mushrooms.	一个人用刀切蘑菇。
0.4	A tiger cub is making a sound.	一只老虎在走来走去。
0.52	A person is slicing onions.	一个人正在剥洋葱。
0.32	A man is playing the piano.	一个男人在吹小号。
0.4	A woman is peeling a potato.	一个女人正在剥一个苹果。
0.84	A pankda is eating bamboo.	一只熊猫在吃竹子。
0.4	A person is peeling an onion.	一个人在剥茄子。
0.96	A monkey pushes another monkey.	猴子推了另一只猴子。
0.88	A squirrel runs around in circles.	一只松鼠盘旋。
1.0	A man is tying his shoe.	一个人系鞋带。
0.6	A boy is singing and playing the piano.	一个男孩在弹钢琴。
0.85	A dog is eating water melon.	狗正在吃一块西瓜。
0.85	A woman is chopping broccoli.	一个女人用刀切西兰花。
0.76	A man is peeling a potato.	一个人去皮土豆。
0.48	A woman is playing a guitar.	一个人弹吉他。
0.32	A woman is slicing tomato.	一个男人在切洋葱。
0.4	A man swims underwater.	一个女人在水下游泳。
0.32	A man and woman are talking.	一个男人和女人在吃东西。
0.8	A small dog is chasing a yoga ball.	狗在追球。
0.44	The men are playing cricket.	这些人在打篮球。
0.88	A man rides off on a motorcycle.	一个人骑着摩托车。
0.72	A man is playing a guitar.	一个人正在唱歌和弹吉他。
0.72	The man talked on the telephone.	那人在电话上聊天。
0.1	A man is fishing.	一个男人在锻炼。
0.16	A man is levitating.	一个男人在说话。
0.12	Two boys are driving.	两个海湾在跳舞。
0.52	A man is riding on a horse.	一个女孩骑着马。
0.4	A man is riding a bicycle.	猴子骑着自行车。
0.44	A man is slicing potatoes.	一个女人在削土豆皮。
0.48	A woman is peeling a potato.	一个人在切土豆。
0.72	A man is playing a guitar.	有人在弹吉他。
0.44	A woman is slicing a leek.	一个女人正在切生姜。
0.96	The man cut a paper plate.	一个人在切一个纸碟。
0.3286	The man is playing the guitar.	一个男人在吹长笛。
0.35	A man is playing the piano.	那人正在拉小提琴。
0.45	A woman is slicing up some meat.	一个女人正在添面包。
0.8	A man is playing on his keyboard.	一个人在弹键盘钢琴。
0.96	The lady chopped up the green onions.	这位女士切了一个葱。
0.64	Someone is sitring noodles in water.	一个女人在水中煮面条。
0.8	Lionel Richie is dancing on the ceiling.	莱昂内尔·里奇（Lionel Richie）站在天花板上跳舞。
0.88	A man is playing a piano.	一个人在弹钢琴。
0.92	A woman is playing flute.	一个女人吹笛子。
0.76	A boy is checking a calender.	一个男孩在看日历。
0.96	A woman is cutting an onion.	一个女人在切洋葱。
0.9714	A man is playing guitar.	一个人弹吉他。
1.0	A woman is using a sewing machine.	一个女人在机器上缝制。
0.5066	A woman is flipping pancakes.	一位卡通厨师正在翻转薄煎饼。
0.2	A man is running on the road.	汽车正在行驶。
0.2	A man is riding on a horse.	一个人在电话上交谈。
0.4	A man is riding a bike.	一个人骑着马。
0.0286	A woman is dancing.	一个人在吃东西。
0.4	A man is playing a piano.	一个男人在吹笛子。
0.32	A man is playing a flute.	一个人在弹钢琴。
0.32	A man is spinning.	一个男人在跳舞。
0.68	A monkey is swinging from limb to limb.	一只猴子在树上摇摆。
0.8	The people got off the train.	人们在车站下了火车。
0.96	A dog is jumping on a trampoline.	一条狗在蹦床上弹跳。
0.5	A boy is playing an instrument.	一个男人在吹小号。
0.35	A woman plays the guitar.	一个人唱歌和弹吉他。
0.2	A woman is picking a can.	一个女人正在切一个西红柿。
1.0	A man is climbing a rope.	一个人爬上一根绳子。
0.28	A man is lifting a car.	一个人正在爬墙。
0.8	A man and woman are driving down the street in a jeep.	一个男人和一个女人正在驾驶一辆露天汽车在路上。
0.76	The shirtless man sat in a chair.	一个赤膊男子坐在椅子上。
0.8	Two women are wrestling.	两名妇女在地板上摔跤。
0.8	The puppy played with a blue tennis ball.	一只小狗在玩网球。
0.96	A kangroo is eating something.	袋鼠在吃东西。
0.12	A cat is playing a piano.	一个人在弹吉他。
0.95	The man cut some carpet with a knife.	一个人用刀切地毯。
0.44	A woman is riding a motorized scooter down a road.	一名男子骑着摩托车。
0.6	someone is slicing a vegetable.	有人在切番茄。
0.0	A woman is dancing.	一个男人在说话。
0.44	A dog licks up a baby's drool.	狗舔婴儿。
0.08	A man is rowing a boat.	一个男人在切西红柿。
0.96	A man cuts up potatos.	一个男人切土豆。
0.96	A woman is chopping up garlic.	女人在切丁大蒜。
0.76	An animal run in circles.	一只松鼠盘旋。
0.6	A man is walking slowly across a rope bridge.	一个男孩正走过一座桥。
0.8	A man is playing the guitar.	一个坐在房间里的男人正在弹吉他。
1.0	A man plays the flute.	一个男人在吹笛子。
0.76	A woman cracks two eggs into a glass bowl.	一个女人正在把一个鸡蛋开进一个碗里。
0.6	A man is cutting a fish.	一个人拿鱼。
0.88	Two men are packing suitcases into the trunk of a car.	这些人正在把手提箱放进汽车后备箱。
0.76	A man pours oil on some tomatos.	那人把油倒在切好的西红柿上。
0.6	A man is slicing something.	一个男人在切一个面包。
0.1334	A man is paddling a canoe.	一个男人在弹竖琴。
0.8	A man and woman are walking together through the woods.	一个男人和女人正手挽着手穿过树林。
0.75	The woman picked up the kangaroo.	一个女人拿起一只小袋鼠。
0.8266	Fish are swimming.	一条鱼在游泳。
0.8	Two women mix something in a food processor.	两个女人在搅拌机中做一些东西。
0.72	A person is surfing a large wave.	一个人在冲浪。
0.24	A man is playing a guitar.	一个人刺伤目标。
0.32	A man is playing a flute in a band.	一个人在弹吉他。
0.8	The man spread butter on the loaf of bread.	一个人正在把黄油涂到面包上。
